n_agents,success_rate,total_step,avg_step,max_step,episode_length,communication_times,collision_rate
4,100.0,63.525,15.88125,18.01,18.555,3.64,0.5747607556112698
8,100.0,162.85,20.35625,22.945,23.205,22.77,1.387344598425861
12,100.0,311.79,25.98249999999999,28.95,29.125,62.47,1.8804738637129472
16,100.0,497.815,31.1134375,34.45,34.515,130.845,2.3167932713290593
20,100.0,747.025,37.351249999999986,40.915,40.985,235.615,2.6092074811509582
22,98.5,957.315,43.5143181818182,47.305,47.365,315.675,2.8304149691835345
